iter	Passed	Remaining
0	152	152238
1	152	76273
2	153	50947
3	153	38274
4	154	30671
5	154	25602
6	154	21978
7	155	19261
8	155	17144
9	156	15450
10	156	14065
11	156	12911
12	157	11932
13	157	11095
14	157	10369
15	158	9733
16	158	9171
17	158	8672
18	159	8225
19	159	7823
20	160	7460
21	160	7128
22	160	6826
23	161	6549
24	161	6295
25	161	6060
26	162	5842
27	162	5639
28	162	5452
29	163	5276
30	163	5112
31	163	4958
32	164	4813
33	164	4676
34	164	4547
35	165	4426
36	165	4311
37	166	4202
38	166	4099
39	166	4001
40	167	3908
41	167	3824
42	168	3741
43	168	3660
44	168	3584
45	169	3512
46	169	3441
47	170	3374
48	170	3308
49	170	3245
50	171	3185
51	171	3127
52	171	3071
53	172	3017
54	172	2965
55	172	2915
56	173	2866
57	173	2820
58	173	2774
59	174	2730
60	174	2688
61	175	2648
62	175	2609
63	175	2572
64	176	2536
65	176	2500
66	177	2465
67	177	2431
68	177	2398
69	178	2366
70	178	2335
71	178	2305
72	179	2275
73	179	2246
74	179	2218
75	180	2191
76	180	2164
77	180	2138
78	181	2113
79	181	2088
80	181	2064
81	182	2041
82	182	2016
83	182	1994
84	183	1972
85	183	1950
86	183	1930
87	184	1909
88	184	1889
89	184	1870
90	185	1851
91	185	1832
92	186	1814
93	186	1796
94	186	1778
95	187	1761
96	187	1744
97	187	1727
98	188	1711
99	188	1695
100	188	1680
101	189	1665
102	189	1650
103	189	1635
104	190	1622
105	190	1608
106	191	1596
107	191	1583
108	192	1569
109	192	1556
110	192	1543
111	193	1530
112	193	1518
113	193	1505
114	194	1493
115	194	1481
116	194	1469
117	195	1457
118	195	1446
119	195	1435
120	196	1424
121	196	1413
122	196	1402
123	197	1391
124	197	1381
125	197	1371
126	198	1361
127	198	1351
128	198	1341
129	199	1332
130	199	1322
131	199	1313
132	200	1304
133	200	1295
134	200	1286
135	201	1277
136	201	1269
137	201	1260
138	202	1252
139	202	1244
140	202	1235
141	203	1227
142	203	1219
143	203	1211
144	204	1203
145	204	1196
146	204	1188
147	205	1181
148	205	1174
149	206	1167
150	206	1160
151	206	1153
152	207	1146
153	207	1139
154	207	1132
155	208	1125
156	208	1119
157	208	1112
158	209	1106
159	209	1099
160	209	1092
161	210	1086
162	210	1080
163	210	1074
164	211	1068
165	211	1062
166	211	1056
167	212	1050
168	212	1044
169	212	1039
170	213	1033
171	213	1028
172	213	1022
173	214	1017
174	214	1011
175	214	1006
176	215	1001
177	215	995
178	215	990
179	216	985
180	216	980
181	217	975
182	217	970
183	217	965
184	218	960
185	218	955
186	218	950
187	219	946
188	219	941
189	219	937
190	220	932
191	220	928
192	220	923
193	221	919
194	221	915
195	222	910
196	222	906
197	222	902
198	223	897
199	223	893
200	223	889
201	224	885
202	224	881
203	224	877
204	225	873
205	225	869
206	225	865
207	226	861
208	226	857
209	226	853
210	227	849
211	227	845
212	227	842
213	228	838
214	228	834
215	228	831
216	229	827
217	229	823
218	230	820
219	230	816
220	230	813
221	231	809
222	231	806
223	231	802
224	232	799
225	232	796
226	232	792
227	233	789
228	233	786
229	233	782
230	234	779
231	234	776
232	234	773
233	235	770
234	235	767
235	236	764
236	236	761
237	236	758
238	237	754
239	237	751
240	237	748
241	238	745
242	238	742
243	238	739
244	239	736
245	239	733
246	239	731
247	240	728
248	240	725
249	240	722
250	241	719
251	241	716
252	241	713
253	242	711
254	242	708
255	242	705
256	243	703
257	243	700
258	243	697
259	244	695
260	244	692
261	244	689
262	245	687
263	245	684
264	245	681
265	246	679
266	246	676
267	246	674
268	247	671
269	247	669
270	247	666
271	248	664
272	248	661
273	248	659
274	249	657
275	249	655
276	250	652
277	250	650
278	250	648
279	251	646
280	251	644
281	252	642
282	252	639
283	253	638
284	253	635
285	253	633
286	254	631
287	254	629
288	254	626
289	255	624
290	255	622
291	255	620
292	256	618
293	256	615
294	256	613
295	257	611
296	257	609
297	257	607
298	258	605
299	258	603
300	258	601
301	259	598
302	259	596
303	259	594
304	260	592
305	260	590
306	260	588
307	261	586
308	261	584
309	261	582
310	262	580
311	262	578
312	262	576
313	263	574
314	263	572
315	263	570
316	264	569
317	264	567
318	264	565
319	265	563
320	265	561
321	265	559
322	266	557
323	266	556
324	266	554
325	267	552
326	267	550
327	267	548
328	268	546
329	268	545
330	268	543
331	269	541
332	269	539
333	269	537
334	270	536
335	270	534
336	270	532
337	271	530
338	271	529
339	271	527
340	272	525
341	272	524
342	272	522
343	273	520
344	273	518
345	273	517
346	274	515
347	274	513
348	274	512
349	274	510
350	275	509
351	275	507
352	275	505
353	276	504
354	276	502
355	276	500
356	277	499
357	277	497
358	277	496
359	278	494
360	278	493
361	279	491
362	279	490
363	279	488
364	280	487
365	280	485
366	280	484
367	281	482
368	281	481
369	281	479
370	282	478
371	282	476
372	282	475
373	283	473
374	283	472
375	283	470
376	284	469
377	284	468
378	284	466
379	285	465
380	285	463
381	285	462
382	286	460
383	286	459
384	286	457
385	287	456
386	287	455
387	287	453
388	287	452
389	288	450
390	288	449
391	288	448
392	289	446
393	289	445
394	289	444
395	290	442
396	290	441
